when,time
3/5/2019 11:54,15
3/5/2019 11:54,15
3/5/2019 11:54,0
3/5/2019 11:54,15
3/5/2019 11:54,15
3/5/2019 11:54,15
3/5/2019 11:54,0
3/5/2019 11:54,0
3/5/2019 11:54,15
3/5/2019 11:54,15
3/5/2019 11:54,15
3/5/2019 11:54,0
3/5/2019 11:54,15
3/5/2019 11:54,15
3/5/2019 11:54,15
3/5/2019 11:54,15
3/5/2019 11:54,15
3/5/2019 11:54,15
3/5/2019 11:54,15
3/5/2019 11:54,15
3/5/2019 11:55,15
3/5/2019 11:55,0
3/5/2019 11:55,0
3/5/2019 11:55,15
3/5/2019 11:55,15
3/5/2019 11:55,15
3/5/2019 11:55,15
3/5/2019 11:55,15
3/5/2019 11:55,15
3/5/2019 11:55,15
3/5/2019 11:55,15
3/5/2019 11:55,15
3/5/2019 11:55,109
3/5/2019 11:55,15
3/5/2019 11:55,171
3/5/2019 11:55,0
3/5/2019 11:55,15
3/5/2019 11:56,0
3/5/2019 11:56,0
3/5/2019 11:56,15
3/5/2019 11:56,31
3/5/2019 11:56,15
3/5/2019 11:56,15
3/5/2019 11:57,15
3/5/2019 11:57,0
3/5/2019 11:57,15
3/5/2019 11:57,0
3/5/2019 11:57,15
3/5/2019 11:57,15
3/5/2019 11:57,15
3/5/2019 11:57,15
3/5/2019 11:57,15
3/5/2019 11:57,15
3/5/2019 11:57,15
3/5/2019 11:57,15
3/5/2019 11:58,15
3/5/2019 11:58,0
3/5/2019 11:58,15
3/5/2019 11:58,31
3/5/2019 11:58,31
3/5/2019 11:58,0
3/5/2019 11:59,15
3/5/2019 11:59,15
3/5/2019 11:59,31
3/5/2019 11:59,0
3/5/2019 11:59,0
3/5/2019 11:59,15
3/5/2019 11:59,15
3/5/2019 11:59,0
3/5/2019 11:59,0
3/5/2019 11:59,0
3/5/2019 11:59,15
3/5/2019 11:59,0
3/5/2019 11:59,15
3/5/2019 11:59,15
3/5/2019 11:59,15
3/5/2019 11:59,15
3/5/2019 11:59,15
3/5/2019 11:59,15
3/5/2019 11:59,15
3/5/2019 11:59,15
3/5/2019 11:59,31
3/5/2019 11:59,15
3/5/2019 11:59,15
3/5/2019 11:59,15
3/5/2019 11:59,31
3/5/2019 12:00,15
3/5/2019 12:00,15
3/5/2019 12:00,15
3/5/2019 12:00,15
3/5/2019 12:00,15
3/5/2019 12:00,0
3/5/2019 12:00,78
3/5/2019 12:00,15
3/5/2019 12:00,31
3/5/2019 12:00,15
3/5/2019 12:00,15
3/5/2019 12:00,31
3/5/2019 12:00,15
3/5/2019 12:01,15
3/5/2019 12:01,15
3/5/2019 12:01,15
3/5/2019 12:01,0
3/5/2019 12:01,15
3/5/2019 12:01,15
3/5/2019 12:01,15
3/5/2019 12:01,15
3/5/2019 12:01,15
3/5/2019 12:01,15
3/5/2019 12:01,15
3/5/2019 12:01,15
3/5/2019 12:01,15
3/5/2019 12:01,46
3/5/2019 12:01,15
3/5/2019 12:01,15
3/5/2019 12:01,0
3/5/2019 12:01,15
3/5/2019 12:01,15
3/5/2019 12:01,15
3/5/2019 12:01,15
3/5/2019 12:01,15
3/5/2019 12:01,0
3/5/2019 12:02,0
3/5/2019 12:02,15
3/5/2019 12:02,15
3/5/2019 12:02,15
3/5/2019 12:02,0
3/5/2019 12:02,62
3/5/2019 12:02,0
3/5/2019 12:02,0
3/5/2019 12:03,0
3/5/2019 12:03,31
3/5/2019 12:03,15
3/5/2019 12:03,31
3/5/2019 12:06,15
3/5/2019 12:06,15
3/5/2019 12:06,46
3/5/2019 12:06,15
3/5/2019 12:06,0
3/5/2019 12:06,0
3/5/2019 12:06,0
3/5/2019 12:06,15
3/5/2019 12:06,15
3/5/2019 12:06,62
3/5/2019 12:06,15
3/5/2019 12:06,0
3/5/2019 12:07,0
3/5/2019 12:07,0
3/5/2019 12:07,15
3/5/2019 12:07,15
3/5/2019 12:07,15
3/5/2019 12:07,31
3/5/2019 12:07,31
3/5/2019 12:07,15
3/5/2019 12:07,0
3/5/2019 12:07,15
3/5/2019 12:07,15
3/5/2019 12:07,0
3/5/2019 12:07,15
3/5/2019 12:07,15
3/5/2019 12:12,15
3/5/2019 12:12,15
3/5/2019 12:12,15
3/5/2019 12:12,15
3/5/2019 12:12,0
3/5/2019 12:12,15
3/5/2019 12:12,0
3/5/2019 12:12,31
3/5/2019 12:12,15
3/5/2019 12:13,15
3/5/2019 12:13,15
3/5/2019 12:13,31
3/5/2019 12:13,15
3/5/2019 12:13,15
3/5/2019 12:13,15
3/5/2019 12:14,15
3/5/2019 12:14,15
3/5/2019 12:14,15
3/5/2019 12:15,15
3/5/2019 12:15,15
3/5/2019 12:15,15
3/5/2019 12:15,0
3/5/2019 12:15,15
3/5/2019 12:15,15
3/5/2019 12:15,15
3/5/2019 12:16,31
3/5/2019 12:16,15
3/5/2019 12:16,15
3/5/2019 12:16,15
3/5/2019 12:16,15
3/5/2019 12:16,0
3/5/2019 12:16,0
3/5/2019 12:16,15
3/5/2019 12:16,15
3/5/2019 12:16,15
3/5/2019 12:16,15
3/5/2019 12:16,31
3/5/2019 12:17,15
3/5/2019 12:17,15
3/5/2019 12:17,15
3/5/2019 12:17,15
3/5/2019 12:17,15
3/5/2019 12:17,15
3/5/2019 12:17,15
3/5/2019 12:17,15
3/5/2019 12:17,0
3/5/2019 12:17,15
3/5/2019 12:17,0
3/5/2019 12:17,15
3/5/2019 12:17,0
3/5/2019 12:17,15
3/5/2019 12:17,0
3/5/2019 12:17,15
3/5/2019 12:17,0
3/5/2019 12:18,15
3/5/2019 12:18,15
3/5/2019 12:18,15
3/5/2019 12:18,0
3/5/2019 12:18,0
3/5/2019 12:18,15
3/5/2019 12:18,15
3/5/2019 12:18,0
3/5/2019 12:18,15
3/5/2019 12:18,15
3/5/2019 12:18,15
3/5/2019 12:18,0
3/5/2019 12:18,0
3/5/2019 12:18,15
3/5/2019 12:19,15
3/5/2019 12:19,15
3/5/2019 12:19,15
3/5/2019 12:19,46
3/5/2019 12:19,15
3/5/2019 12:19,15
3/5/2019 12:19,31
3/5/2019 12:20,15
3/5/2019 12:20,15
3/5/2019 12:20,15
3/5/2019 12:20,0
3/5/2019 12:20,15
3/5/2019 12:20,0
3/5/2019 12:20,0
3/5/2019 12:20,109
3/5/2019 12:20,93
3/5/2019 12:20,15
3/5/2019 12:20,0
3/5/2019 12:20,15
3/5/2019 12:23,15
3/5/2019 12:23,15
3/5/2019 12:23,15
3/5/2019 12:23,15
3/5/2019 12:23,15
3/5/2019 12:24,15
3/5/2019 12:24,15
3/5/2019 12:24,15
3/5/2019 12:24,0
3/5/2019 12:24,31
3/5/2019 12:24,15
3/5/2019 12:25,0
3/5/2019 12:25,0
3/5/2019 12:25,15
3/5/2019 12:25,0
3/5/2019 12:25,15
3/5/2019 12:25,15
3/5/2019 12:25,0
3/5/2019 12:25,15
3/5/2019 12:25,15
3/5/2019 12:25,15
3/5/2019 12:25,0
3/5/2019 12:26,15
3/5/2019 12:26,0
3/5/2019 12:26,15
3/5/2019 12:26,0
3/5/2019 12:26,31
3/5/2019 12:26,15
3/5/2019 12:26,15
3/5/2019 12:26,15
3/5/2019 12:26,15
3/5/2019 12:26,15
3/5/2019 12:27,15
3/5/2019 12:27,15
3/5/2019 12:28,15
3/5/2019 12:28,15
3/5/2019 12:29,15
3/5/2019 12:29,15
3/5/2019 12:29,15
3/5/2019 12:29,15
3/5/2019 12:29,15
3/5/2019 12:29,15
3/5/2019 12:29,15
3/5/2019 12:29,31
3/5/2019 12:29,0
3/5/2019 12:30,15
3/5/2019 12:30,15
3/5/2019 12:30,15
3/5/2019 12:30,0
3/5/2019 12:30,15
